Post Office,Pincode,Latitude,Longitude
Bangalore Bazaar S.O,560001,12.9766,77.5993
Bangalore G.P.O.,560001,12.9766,77.5993
Cubban Road S.O,560001,12.9766,77.5993
Dr. Ambedkar Veedhi S.O,560001,12.9766,77.5993
HighCourt S.O,560001,12.9766,77.5993
Legislators Home S.O,560001,12.9766,77.5993
Mahatma Gandhi Road S.O,560001,12.9766,77.5993
Rajbhavan S.O (Bangalore),560001,12.9766,77.5993
Vidhana Soudha S.O,560001,12.9766,77.5993
Bangalore City S.O,560002,12.9635,77.5821
Bangalore Corporation Building S.O,560002,12.9635,77.5821
Sri Jayachamarajendra Road S.O,560002,12.9635,77.5821
Malleswaram S.O,560003,13.0019,77.5713
Palace Guttahalli S.O,560003,13.0019,77.5713
Swimming Pool Extn S.O,560003,13.0019,77.5713
Venkatarangapura S.O,560003,13.0019,77.5713
Vyalikaval Extn S.O,560003,13.0019,77.5713
Basavanagudi H.O,560004,12.9438,77.5738
Mavalli S.O,560004,12.9438,77.5738
Pampamahakavi Road S.O,560004,12.9438,77.5738
Fraser Town S.O,560005,12.9980,77.6227
J.C.Nagar S.O,560006,13.0138,77.5877
Training Command IAF S.O,560006,13.0138,77.5877
Agram S.O,560007,12.9579,77.6309
H.A.L II Stage H.O,560008,12.9820,77.6256
Hulsur Bazaar S.O,560008,12.9820,77.6256
Bangalore Dist Offices Bldg S.O,560009,12.9770,77.5773
K. G. Road S.O,560009,12.9770,77.5773
Industrial Estate S.O (Bangalore),560010,12.9850,77.5533
Rajajinagar H.O,560010,12.9850,77.5533
Rajajinagar IVth Block S.O,560010,12.9850,77.5533
Jayangar III Block S.O,560011,12.9337,77.5900
Madhavan Park S.O,560011,12.9337,77.5900
Science Institute S.O,560012,13.0140,77.5658
Jalahalli H.O,560013,13.0503,77.5529
Jalahalli East S.O,560014,13.0734,77.5464
Jalahalli West S.O,560015,13.0626,77.5284
Doorvaninagar S.O,560016,13.0166,77.6804
Krishnarajapuram R S S.O,560016,13.0166,77.6804
Ramamurthy Nagar S.O,560016,13.0166,77.6804
NAL S.O,560017,12.9551,77.6593
Vimanapura S.O,560017,12.9551,77.6593
Chamrajpet S.O (Bangalore),560018,12.9570,77.5637
Gaviopuram Extension S.O,560019,12.9473,77.5616
Narasimharaja Colony S.O,560019,12.9473,77.5616
Seshadripuram S.O,560020,12.9889,77.5741
Gayathrinagar S.O,560021,12.9925,77.5633
Srirampuram S.O,560021,12.9925,77.5633
Yeshwanthpur Bazar S.O,560022,13.0289,77.5400
Yeswanthpura S.O,560022,13.0289,77.5400
Magadi Road S.O,560023,12.9757,77.5586
Anandnagar S.O (Bangalore),560024,13.0487,77.5923
H.A. Farm S.O,560024,13.0487,77.5923
Hebbal Kempapura S.O,560024,13.0487,77.5923
CMP Centre And School S.O,560025,12.9634,77.6025
Museum Road S.O,560025,12.9634,77.6025
Richmond Town S.O,560025,12.9662,77.6025
Deepanjalinagar S.O,560026,12.9565,77.5484
Governmemnt Electric Factory S.O,560026,12.9565,77.5484
Sampangiramnagar S.O,560027,12.9561,77.5921
Shanthinagar S.O,560027,12.9561,77.5921
Wilson Garden S.O,560027,12.9561,77.5921
Thyagarajanagar,560028,12.9335,77.5691
Dharmaram College S.O,560029,12.9442,77.6076
Taverekere B.O,560029,12.9442,77.6076
Adugodi S.O,560030,13.0298,77.6047
GandhiNagar,560031,12.9400,77.6071
Kanakanagar S.O,560032,12.9261,77.6221
P&T Col. Kavalbyrasandra S.O,560032,12.9261,77.6221
R T Nagar H.O,560032,12.9261,77.6221
Malkand Lines S.O,560033,12.9048,77.6821
Maruthi Sevanagar S.O,560033,12.9048,77.6821
Agara B.O,560034,13.0084,77.6960
Koramangala I Block S.O,560034,13.0084,77.6960
Koramangala S.O,560034,13.0084,77.6960
St. John's Medical College S.O,560034,13.0084,77.6960
Carmelaram S.O,560035,12.9566,77.7047
Devasandra S.O,560036,12.9783,77.6408
Krishnarajapuram S.O,560036,12.9783,77.6408
Doddanekkundi B.O,560037,12.9446,77.5253
Kundalahalli S.O,560037,12.9446,77.5253
Marathahalli Colony S.O,560037,12.9446,77.5253
Rameshnagar S.O,560037,12.9446,77.5253
Yemalur B.O,560037,12.9446,77.5253
Indiranagar S.O (Bangalore),560038,12.9680,77.5305
Nayandahalli S.O,560039,12.9217,77.5936
Chandra Lay Out S.O,560040,12.9828,77.6131
Vijayanagar East S.O,560040,12.9828,77.6131
Vijayanagar S.O (Bangalore),560040,12.9828,77.6131
Jayanagar H.O,560041,13.0206,77.6479
Tilaknagar S.O (Bangalore),560041,13.0206,77.6479
Sivan Chetty Gardens S.O,560042,13.0262,77.6200
Banaswadi S.O,560043,13.0012,77.5995
Horamavu B.O,560043,13.0012,77.5995
Jalavayuvihar S.O,560043,13.0012,77.5995
Kalyananagar S.O,560043,13.0012,77.5995
Arabic College S.O,560045,12.9537,77.6176
Nagawara B.O,560045,12.9537,77.6176
Venkateshapura S.O,560045,12.9537,77.6176
Benson Town S.O,560046,12.9854,77.7081
Austin Town S.O,560047,13.0223,77.7132
Viveknagar S.O (Bangalore),560047,13.0223,77.7132
Hoodi B.O,560048,12.9353,77.5585
Mahadevapura S.O,560048,12.9353,77.5585
Bhattarahalli S.O,560049,12.9883,77.5987
Bidrahalli B.O,560049,12.9883,77.5987
Mundur B.O,560049,12.9883,77.5987
Thambuchetty palya B.O,560049,12.9883,77.5987
Virgonagar S.O,560049,12.9883,77.5987
Ashoknagar S.O (Bangalore),560050,12.9693,77.5731
Banashankari S.O,560050,12.9693,77.5731
Dasarahalli(Srinagar) S.O,560050,12.9693,77.5731
State Bank Of Mysore Colony S.O,560050,12.9693,77.5731
H.K.P. Road S.O,560051,13.0347,77.5572
Vasant Nagar,560052,12.9887,77.5931
Chickpet S.O,560053,12.9515,77.4921
Mathikere S.O,560054,13.0429,77.5132
Msrit S.O,560054,13.0429,77.5132
Sri Chowdeshwari S.O,560054,13.0429,77.5132
Malleswaram West S.O,560055,13.0281,77.5121
Milk Colony S.O,560055,13.0281,77.5121
Bnagalore Viswavidalaya S.O,560056,12.9251,77.4992
Mallathahalli B.O,560056,12.9251,77.4992
Ullalu Upanagara B.O,560056,12.9251,77.4992
Peenya Dasarahalli S.O,560057,12.9105,77.4842
Laggere S.O,560058,12.9037,77.5376
Peenya I Stage S.O,560058,12.9037,77.5376
Peenya II Stage S.O,560058,12.9037,77.5376
Peenya Small Industries S.O,560058,12.9037,77.5376
Rv Niketan S.O,560059,12.8834,77.5486
Chudenapura B.O,560060,13.1291,77.6142
Chikkalasandra S.O,560061,13.1020,77.5864
Subramanyapura S.O,560061,13.1020,77.5864
Doddakallasandra S.O,560062,13.0936,77.5779
Konanakunte B.O,560062,13.0936,77.5779
Tataguni B.O,560062,13.0936,77.5779
A F Station Yelahanka S.O,560063,12.9698,77.7500
BSF Campus Yelahanka S.O,560063,12.9698,77.7500
Attur B.O,560064,12.9967,77.7582
CRPF Campus Yelahanka S.O,560064,12.9967,77.7582
Jakkur B.O,560064,12.9967,77.7582
Rajanakunte B.O,560064,12.9967,77.7582
Singanayakanahalli B.O,560064,12.9967,77.7582
Yelahanka S.O,560064,12.9967,77.7582
Yelahanka Satellite Town S.O,560064,12.9967,77.7582
G.K.V.K. S.O,560065,12.8893,77.6399
Immedihalli B.O,560066,12.9149,77.5635
Ramagondana Halli B.O,560066,12.9149,77.5635
Whitefield S.O,560066,12.9149,77.5635
Devanagundi B.O,560067,12.9533,77.6408
Kadugodi S.O,560067,12.9533,77.6408
Kannamangala B.O,560067,12.9533,77.6408
Medimallasandra B.O,560067,12.9533,77.6408
Begur B.O,560068,12.9719,77.5128
Bommanahalli S.O (Bangalore),560068,12.9719,77.5128
Hongasandra B.O,560068,12.9719,77.5128
Madivala S.O,560068,12.9719,77.5128
Jayanagar 9th Block,560069,12.9206,77.5949
B Sk II Stage S.O,560070,12.8824,77.4418
Jayanagar West S.O,560070,12.8824,77.4418
Padmanabhnagar S.O,560070,12.8824,77.4418
Tyagrajnagar S.O,560070,12.8824,77.4418
Domlur S.O,560071,12.9706,77.6529
Nagarbhavi S.O,560072,12.8845,77.6036
Bagalgunte B.O,560073,13.0640,77.6504
Chikkabidarkal S.O,560073,13.0640,77.6504
Nagasandra S.O (Bangalore),560073,13.0640,77.6504
Nelakadiranahalli B.O,560073,13.0640,77.6504
Kumbalagodu S.O,560074,12.8988,77.5764
Kumbalgodu Gollahalli B.O,560074,12.8988,77.5764
Ramohalli B.O,560074,12.8988,77.5764
Jeevabhimanagar B.O,560075,12.9890,77.5332
Jeevanbhimanagar S.O,560075,12.9890,77.5332
New Thippasandra S.O,560075,12.9890,77.5332
Bannerghatta Road S.O,560076,13.0103,77.5796
Bilekahalli B.O,560076,13.0103,77.5796
Hulimavu B.O,560076,13.0103,77.5796
JP Nagar VIII phase S.O,560076,13.0103,77.5796
Mico Layout S.O,560076,13.0103,77.5796
Mount St Joseph B.O,560076,13.0103,77.5796
Dr. Shivarama Karanth Nagar S.O,560077,12.9231,77.6096
Kothanur S.O,560077,12.9231,77.6096
J P Nagar S.O,560078,12.7930,77.5052
JP Nagar III Phase S.O,560078,12.7930,77.5052
Kumaraswamy Layout S.O,560078,12.7930,77.5052
Yelachenahalli S.O,560078,12.7930,77.5052
Basaveshwaranagar S.O,560079,12.8267,77.5549
K H B Colony S.O,560079,12.8267,77.5549
Kamakshipalya S.O,560079,12.8267,77.5549
Sadashivanagar S.O,560080,13.0146,77.6271
Chandapura S.O.,560081,12.9306,77.5434
Bolare B.O,560082,13.0067,77.5450
Bannerghatta S.O,560083,12.9215,77.7343
Gottigere S.O,560083,12.9215,77.7343
Kallubalu B.O,560083,12.9215,77.7343
Ragihalli B.O,560083,12.9215,77.7343
Kacharakanahalli B.O,560084,13.1386,77.4785
Lingarajapuram S.O,560084,13.1386,77.4785
St. Thomas Town S.O,560084,13.1386,77.4785
Banashankari III Stage S.O,560085,13.1636,77.4472
Byatarayanapura B.O,560085,13.1636,77.4472
Girinagar S.O (Bangalore),560085,13.1636,77.4472
Hosakerehalli B.O,560085,13.1636,77.4472
Kathriguppe S.O,560085,13.1636,77.4472
Mahalakshmipuram Layout S.O,560086,13.0796,77.4970
West of Chord Road II stage S.O,560086,13.0796,77.4970
Gunjur B.O,560087,12.9866,77.4904
Muthusandra B.O,560087,12.9866,77.4904
Vartur S.O,560087,12.9866,77.4904
Hessarghatta S.O.,560088,13.0641,77.5931
Byatha P.O.,560089,12.9859,77.6713
Tarabanahalli B.O,560090,13.0393,77.5740
Bapagrama B.O,560091,12.9369,77.6407
Herohalli B.O,560091,12.9369,77.6407
Herohalli S.O,560091,12.9369,77.6407
Viswaneedam S.O,560091,12.9369,77.6407
Amruthahalli B.O,560092,13.0158,77.5390
Byatarayanapura B.O,560092,13.0158,77.5390
Kodigehalli B.O,560092,13.0158,77.5390
Sahakaranagar P.O S.O,560092,13.0158,77.5390
C.V.Raman Nagar S.O,560093,13.0809,77.5565
ISRO Anthariksha Bhavan S.O,560094,12.9155,77.5135
R.M.V. Extension II Stage S.O,560094,12.9155,77.5135
Koramangala VI Bk S.O,560095,12.8124,77.6940
Kanteeravanagar S.O,560096,12.8498,77.6545
Nandinilayout S.O,560096,12.8498,77.6545
Chikkabettahalli B.O,560097,13.0809,77.5565
Vidyaranyapura S.O,560097,13.0809,77.5565
Kenchanahalli B.O,560098,12.9155,77.5135
Rajarajeshwarinagar S.O,560098,12.9155,77.5135
Bommasandra Industrial Estate S.O,560099,12.8124,77.6940
Chandapura B.O,560099,12.8124,77.6940
Hebbagodi B.O,560099,12.8124,77.6940
Muthanallur B.O,560099,12.8124,77.6940
Electronics City S.O,560100,12.7592,77.7338
HSR Layout S.O,560102,12.8788,77.1715
Bellandur S.O,560103,12.8614,77.7866
Panathur B.O,560103,12.8614,77.7866
Hampinagar S.O,560104,12.9460,77.3899
Haragadde B.O,560105,13.1195,77.6786
Hennagara B.O,560105,13.1195,77.6786
Hulimangala B.O,560105,13.1195,77.6786
Jigani S.O,560105,13.1195,77.6786
Bangalore International Airport S.O,560300,13.1726,77.6307
Anekal S.O,562106,12.7227,77.6765
Anekalbazar B.O,562106,12.7227,77.6765
Bestamaranahalli B.O,562106,12.7227,77.6765
Indalavadi B.O,562106,12.7227,77.6765
Marsur B.O,562106,12.7227,77.6765
Samandur B.O,562106,12.7227,77.6765
Sidihoskote B.O,562106,12.7227,77.6765
Thammanayakanahalli B.O,562106,12.7227,77.6765
Vanakanahalli B.O,562106,12.7227,77.6765
Attibele S.O,562107,12.7592,77.7338
Bidaraguppe B.O,562107,12.7592,77.7338
Mayasandra B.O,562107,12.7592,77.7338
Neralur B.O,562107,12.7592,77.7338
Yadavanahalli B.O,562107,12.7592,77.7338
Chamarajasagara B.O,562120,12.8788,77.1715
Dommasandra B.O,562125,12.8614,77.7866
Handenahalli B.O,562125,12.8614,77.7866
Kugur B.O,562125,12.8614,77.7866
Sarjapura S.O,562125,12.8614,77.7866
Chikkanahalli B.O,562130,12.9460,77.3899
Chunchanakuppe B.O,562130,12.9460,77.3899
Kadabagere B.O,562130,12.9460,77.3899
Tavarekere S.O (Bangalore),562130,12.9460,77.3899
Bagalur S.O (Bangalore),562149,13.1195,77.6786
Bandikodigehalli B.O,562149,13.1195,77.6786
Doddagubbi B.O,562149,13.1195,77.6786
Kannur B.O,562149,13.1195,77.6786
Bettahalsur S.O,562157,13.1726,77.6307
Chikkajala B.O,562157,13.1726,77.6307
Doddajala B.O,562157,13.1726,77.6307
Hunasamaranahalli B.O,562157,13.1726,77.6307
Tarahunise B.O,562157,13.1726,77.6307
Vidyanagara B.O,562157,13.1726,77.6307
