,Neighbourhood Pin Code,Neighborhood Latitude,Neighborhood Longitude,Place,Place Types,Place Vicinity
0,560001,12.9766,77.5993,Bengaluru,"['locality', 'political']",Bengaluru
1,560001,12.9766,77.5993,The Chancery Hotel,"['lodging', 'point_of_interest', 'establishment']","10/6, Lavelle Road, Shanthala Nagar, Bengaluru"
2,560001,12.9766,77.5993,The Chancery Pavilion,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","#135, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru"
3,560001,12.9766,77.5993,The Pride Hotel Bangalore,"['lodging', 'point_of_interest', 'establishment']","93, Richmond Road, Langford Gardens, Bengaluru"
4,560001,12.9766,77.5993,JW Marriott Hotel Bengaluru,"['lodging', 'point_of_interest', 'establishment']","24, 1, Vittal Mallya Road, Ashok Nagar, Bengaluru"
5,560001,12.9766,77.5993,Fortune Select JP Cosmos,"['lodging', 'point_of_interest', 'establishment']","behind फोर्टिस हॉस्पिटल, No. 49, Cunningham Crescent Road, Vasanth Nagar, Bengaluru"
6,560001,12.9766,77.5993,Oakwood Premier Prestige Bangalore,"['night_club', 'spa', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","UB City, 24, Vittal Mallya Road, Ashok Nagar, Bengaluru"
7,560001,12.9766,77.5993,"The Ritz-Carlton, Bangalore","['lodging', 'point_of_interest', 'establishment']","99, Residency Road, Ashok Nagar, Bengaluru"
8,560001,12.9766,77.5993,Adarsh Hamilton,"['lodging', 'point_of_interest', 'establishment']","2/4, Langford Garden Road, Richmond Town, Bengaluru"
9,560001,12.9766,77.5993,Purple Lotus,"['lodging', 'point_of_interest', 'establishment']","46, 6th Cross Road, Shanthala Nagar, Ashok Nagar, Bengaluru"
10,560001,12.9766,77.5993,Hotel Empire International Lodge,"['lodging', 'point_of_interest', 'establishment']","36, Church Street, Shanthala Nagar, Ashok Nagar, Bengaluru"
11,560001,12.9766,77.5993,Empire Suites,"['lodging', 'point_of_interest', 'establishment']","35, Castle Street, Ashok Nagar, Bengaluru"
12,560001,12.9766,77.5993,Casa Cottage Hotel,"['lodging', 'point_of_interest', 'establishment']","Cmp Centre Post Office, behind Richmond Town, 2, Clapham Street, Richmond Town, Bengaluru"
13,560001,12.9766,77.5993,Daly Memorial Hall,"['point_of_interest', 'establishment']","Nrupathunga Road, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru"
14,560001,12.9766,77.5993,Terrace Gardens Guest House,"['lodging', 'point_of_interest', 'establishment']","15, Brunton Cross Road, Oposite Hakims Ali salon Near Garuda Mall., Bengaluru"
15,560001,12.9766,77.5993,Melange Astris,"['lodging', 'point_of_interest', 'establishment']","No.1, Langford Garden, Richmond Road, Bengaluru"
16,560001,12.9766,77.5993,Iris - The Business Hotel and Spa,"['lodging', 'point_of_interest', 'establishment']","70, Brigade Road, Ashok Nagar, Bengaluru"
17,560001,12.9766,77.5993,"Taj West End, Bengaluru","['lodging', 'point_of_interest', 'establishment']","25, Race Course Road, Bengaluru"
18,560001,12.9766,77.5993,"Meenal , A Boutique Hotel","['lodging', 'point_of_interest', 'establishment']","Plot No. 50-1, Meenal Tower, Residency Road 1st Cross, Bengaluru"
19,560001,12.9766,77.5993,Halasuru,"['locality', 'political']",Halasuru
20,560002,12.9635,77.5821,Bengaluru,"['locality', 'political']",Bengaluru
21,560002,12.9635,77.5821,The Chancery Pavilion,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","#135, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru"
22,560002,12.9635,77.5821,Hotel Bangalore Gate,"['lodging', 'point_of_interest', 'establishment']","near Mysore Bank Circle, 9 & 12, Gajanana Towers , Kempe Gowda Road Opposite Menaka Theater, near Mysore Bank Circle, Bengaluru"
23,560002,12.9635,77.5821,JW Marriott Hotel Bengaluru,"['lodging', 'point_of_interest', 'establishment']","24, 1, Vittal Mallya Road, Ashok Nagar, Bengaluru"
24,560002,12.9635,77.5821,OYO 11176 Hotel Tap Gold Crest,"['lodging', 'point_of_interest', 'establishment']","37, Malvalli Tank Bund Road, Near Minerva Circle, Journalist Colony, Bengaluru"
25,560002,12.9635,77.5821,The Pride Hotel Bangalore,"['lodging', 'point_of_interest', 'establishment']","93, Richmond Road, Langford Gardens, Bengaluru"
26,560002,12.9635,77.5821,Basant Residency,"['lodging', 'point_of_interest', 'establishment']","behind Syndicate Bank, 3, 4th Main Road, Opp. Jain Temple , Gandhinagar, behind Syndicate Bank, Bengaluru"
27,560002,12.9635,77.5821,Oakwood Premier Prestige Bangalore,"['night_club', 'spa', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","UB City, 24, Vittal Mallya Road, Ashok Nagar, Bengaluru"
