Neighbourhood,Pin Code
Cubban Road S.O,560001
Anekal S.O,562106
Rajanakunte B.O,560064
Hulimavu B.O,560076
Chikkajala B.O,562157
Malleswaram S.O,560003
Doddanekkundi B.O,560037
Mahadevapura S.O,560049
Hosakerehalli B.O,560085
Attibele S.O,562107
Koramangala S.O,560034
Banaswadi S.O,560043
Banashankari S.O,560050
Peenya I Stage S.O,560058
Kadugodi S.O,560067
Madivala S.O,560068
Jayanagar West S.O,560070
Nagasandra S.O,560073
Kumaraswamy Layout S.O,560078
Bannerghatta S.O,560083
Herohalli B.O,560091
Byatarayanapura B.O,560092
Bommasandra Industrial Estate S.O,560099
Jigani S.O,560105
Sarjapura S.O,562125
Tavarekere S.O,562130
Doddagubbi B.O,562149
Bangalore Corporation Building S.O,560002
Basavanagudi H.O,560004
Rajajinagar H.O,560010
Ramamurthy Nagar S.O,560016
Hebbal Kempapura S.O,560024
Museum Road S.O,560025
Sampangiramnagar S.O,560027
R T Nagar H.O,560032
Chandra Layout S.O,560040
Nagawara B.O,560045
Mathikere S.O,560054
Mallathahalli B.O,560056
Konanakunte B.O,560062
Whitefield S.O,560066
Kumbalagodu S.O,560074
Jeevabhimanagar B.O,560075
Basaveshwaranagar S.O,560079
Lingarajapuram S.O,560084
Vartur S.O,560087
J.C.Nagar S.O,560006
Hulsur Bazaar S.O,560008
K. G. Road S.O,560009
Madhavan Park S.O,560011
Vimanapura S.O,560017
Gaviopuram Extension S.O,560019
Srirampuram S.O,560021
Yeswanthpura S.O,560022
Deepanjalinagar S.O,560026
Taverekere B.O,560029
Maruthi Sevanagar S.O,560033
Krishnarajapuram S.O,560036
Jayanagar H.O,560041
Austin Town S.O,560047
Hoodi B.O,560048
Milk Colony S.O,560055
Chikkalasandra S.O,560061
BSF Campus Yelahanka S.O,560063
Dr. Shivarama Karanth Nagar S.O,560077
Mahalakshmipuram Layout S.O,560086
ISRO Anthariksha Bhavan S.O,560094
Nandinilayout S.O,560096
Vidyaranyapura S.O,560097
Rajarajeshwarinagar S.O,560098
Bellandur S.O,560103
Fraser Town S.O,560005
Agram S.O,560007
Science Institute S.O,560012
Jalahalli H.O,560013
Jalahalli East S.O,560014
Jalahalli West S.O,560015
Chamrajpet S.O (Bangalore),560018
Seshadripuram S.O,560020
Magadi Road S.O,560023
Thyagarajanagar,560028
Adugodi S.O,560030
GandhiNagar,560031
Carmelaram S.O,560035
Indiranagar S.O (Bangalore),560038
Nayandahalli S.O,560039
Sivan Chetty Gardens S.O,560042
Benson Town S.O,560046
H.K.P. Road S.O,560051
Vasant Nagar,560052
Chickpet S.O,560053
Peenya Dasarahalli S.O,560057
Rv Niketan S.O,560059
Chudenapura B.O,560060
G.K.V.K. S.O,560065
Jayanagar 9th Block,560069
Domlur S.O,560071
Nagarbhavi S.O,560072
Sadashivanagar S.O,560080
Chandapura S.O.,560081
Bolare B.O,560082
Hessarghatta S.O.,560088
Byatha P.O.,560089
Tarabanahalli B.O,560090
C.V.Raman Nagar S.O,560093
Koramangala VI Bk S.O,560095
Electronics City S.O,560100
HSR Layout S.O,560102
Hampinagar S.O,560104
Bangalore International Airport S.O,560300
Chamarajasagara B.O,562120
